"msepick2" "msearim2" "msearims2" "msearimsp12"
"56" 5488.21649449557 24523.1829585841 2640.96877525129 2978.72902016973
"57" 5325.87206054527 26799.3957104558 4615.02127815429 4796.55127074955
"58" 5159.79810202703 28943.6289482575 5971.70127155709 5902.7255280704
"59" 9040.74055727953 29303.0166764167 9479.5340835552 11052.6203755956
"60" 5792.74593600611 46621.9602034876 9766.92244906392 10960.6745154296
"61" 6771.77500858905 25834.873086113 4527.02658494252 5440.85558533563
"62" 7278.27284818751 31547.2548752429 1736.23963179527 2269.02161316056
"63" 13511.664357002 33645.3092106979 6989.50302610692 6352.1281940824
"64" 7802.71624579133 33736.8871470575 6596.08638462589 6874.40218060289
"65" 3870.35607918433 33139.0909501795 3863.08280830216 4185.90141678679
"66" 5938.32411649379 18266.3945073474 4445.89146105125 4004.93950672853
"67" 5568.84055080976 13511.0956220457 4252.61283340171 3608.11791891077
"68" 10332.3455044251 18014.8739949224 4427.44499335132 3899.9455164542
"69" 9522.92773974146 16230.8973092508 1434.85576726031 1006.69768594322
"70" 9716.67055848558 15163.456871209 5266.60030673648 4984.99450397017
"71" 7272.75398131636 10855.5264321121 4880.44870530075 4619.94619081167
"72" 8590.52472567756 12058.45708611 7039.39718249739 6510.3436109353
"73" 7801.6634224781 12256.9759751506 4443.85733171417 4364.79229402586
"74" 6060.83720454563 26952.4526885441 6130.48211408383 6049.05918692513
"75" 7100.21731172579 22313.3184565129 2375.69703974948 2776.93942230405
"76" 10251.2938384605 23936.0867389261 1720.53911716854 1702.907782018
"77" 4402.25269963198 15781.7882102276 1524.88638742388 830.265765947612
"78" 5787.51991409703 15639.9818661095 2117.85741562721 2114.8044502093
"79" 3305.81181389769 13955.9366205983 2240.46065591784 1594.65763524226
"80" 877.03292207031 18480.9889578433 444.873114352721 467.114407080715
"81" 261.01347731836 11945.7004774064 2088.4950077927 2293.93357915505
"82" 4717.40400314494 11043.1978968594 1451.82386602855 1061.56156821353
"83" 8021.17016031036 13564.4945476402 830.314513450509 566.010419391592
"84" 3971.9865889051 9926.72425426893 1314.12617518823 1458.574622677
"85" 1865.95693028385 9419.48502623033 1392.72173467729 1656.78205932671
"86" 1506.90582309099 8337.85872634073 709.934715257322 817.724372139554
"87" 285.088649775681 9933.26460992003 148.587715949275 270.196000870478
"88" 1255.61854265057 7753.79871105643 980.329331157829 687.903878301613
"89" 6075.77601286979 9553.40307101713 1442.41231276963 912.877995429566
"90" 9592.79318232821 8902.80199353163 737.119984150034 387.337819389253
"91" 7778.9503593269 3278.98907776845 2049.79816545792 1065.78816132129
"92" 8099.21113318985 3795.47151854096 2290.1338290436 1614.69459422622
"93" 8844.34519068017 5939.2566001477 1422.32144372006 1051.8922101133
"94" 8011.25072286038 8753.19685712307 653.907501062194 197.075416042757
"95" 6626.64210752938 10974.2132323313 1996.59594642794 1127.36990062577
"96" 7007.3788196708 11022.0734802218 1607.37236919432 921.926816274238
"97" 7789.53062535168 10809.5185239069 1105.05700456103 651.776962462263
"98" 8362.10971075941 9755.66280470339 537.117296292969 603.098158230111
"99" 3804.87825724319 9502.11943411305 1091.95871418806 1436.29007982749
"100" 4412.58278967248 15194.0723531134 3267.65729292402 2185.98621764514
"101" 2455.54279095216 19652.3947267582 1680.7267887944 1315.28948957709
"102" 2638.10037424619 15645.9253832488 2242.80249342007 2056.70434575147
"103" 6330.02268573394 16436.0817735957 886.738560395806 916.121529627396
"104" 7768.35659080239 16582.7903358934 761.136937766526 714.336020991262
"105" 3999.55431224481 16880.7034992825 1011.73863453484 1640.4727617665
"106" 1485.81264152914 19544.8689772509 864.865834762734 1761.31168941881
"107" 479.279501641262 13670.0350711684 1459.18908269899 2775.12793106384
"108" 1594.09863432219 34265.6712735667 1691.38590885604 2732.80259192587
"109" 4261.13171744926 21798.9097990796 568.964589864784 908.216569823046
"110" 5345.18308953532 16771.509626587 609.772176136376 325.386745775945
"111" 6998.51199926289 17605.4745665067 654.635997324796 174.391206467823
"112" 5660.65060287045 16446.1736560371 381.742997212188 78.8609904666318
"113" 4097.73375975616 16068.5518481408 1508.48859112578 2061.04370427062
"114" 2332.61423205337 17162.6062732102 1019.73301902566 2097.44301710761
"115" 4601.75952204334 13376.9348311739 2757.00879301331 2156.94810595964
"116" 3387.04746254029 20025.0624297302 2483.73769315306 2589.13716013435
"117" 6910.8761704303 22153.596250368 2147.23368509258 1621.62624551986
"118" 6548.41354399489 21323.7077269496 1234.042984676 714.157549652216
"119" 3716.33040742905 20532.2026570283 1250.46621200894 704.637129869309
"120" 2391.88767512194 39049.5333937782 604.228885344052 378.666122400668
"121" 2049.30789606362 42406.811539445 755.01503259003 474.483440349221
"122" 2052.54353641552 38273.6351141012 726.34189979846 464.014930386503
"123" 931.351811529133 29729.740237231 1004.4974668434 725.345536129184
"124" 4968.12582831719 23240.9742396557 1069.84904091752 734.241299179703
"125" 7513.89552696839 21151.114226993 718.521141925985 306.75983807043
"126" 6390.57036717172 24938.4074772196 1367.86282215214 1362.85850744196
"127" 8282.05310724208 16051.0314675056 3591.62559557178 3159.80161989968
"128" 5413.42629167671 17076.3040702696 2545.46149528186 2019.16571018068
"129" 4051.59346666043 19905.2598961146 2223.86397885872 1841.30510493084
"130" 1738.41433967025 19742.0564460811 728.514780177592 1033.03710784734
"131" 4353.64664311403 15797.8322979303 794.353159320064 672.325325532238
"132" 6247.84325973557 13109.2487622565 934.383161433241 403.578342609848
"133" 9376.6873800699 12022.2163969263 3764.42535032215 2888.72044715286
"134" 5904.91151050596 17024.1400308932 4050.20385333136 3176.20117062894
"135" 4093.43309679634 12316.8464944255 2149.57547845843 1637.60580350475
"136" 2268.09551487536 14882.8811122119 644.995613066668 411.214390669134
"137" 954.893776875629 5151.87776090154 301.702003035225 304.939818154293
"138" 5635.40923264415 12862.7462522124 176.107289362783 215.465174074317
"139" 7004.29918631941 11566.1794886904 734.23623036283 198.325195689893
"140" 9073.67705082457 11794.2857296106 2006.94314653407 1072.65922030958
"141" 3828.97442707605 14823.415377346 2266.66609680727 2314.50271901899
"142" 1216.71362785449 15435.0005694054 1224.79988941904 1799.26360880595
"143" 220.112327538294 14948.4037124944 596.275433160183 1175.51395081221
"144" 362.84926049561 13126.187760163 661.295097721732 1980.50788971465
"145" 3538.4599606504 5271.48713379807 1018.28264709785 654.839965409942
"146" 6101.98302272252 7295.41458064107 834.364169532138 365.50256121248
"147" 3205.24442737675 13427.8092930606 1545.62731675103 1300.55697669305
"148" 2176.67208482319 12409.2466153388 690.214678672814 577.830400367034
"149" 875.127487271289 16737.2648867269 190.279848945593 134.194611366993
"150" 1267.81973156505 16914.2230046237 398.338871708177 432.40965852332
"151" 4887.14519455681 21241.0458885088 4087.85777519854 3622.07567357657
"152" 8985.71085115928 25218.241424314 2900.99881410803 2914.64435000296
"153" 9885.09131547159 30217.2883389938 1192.33282094693 1283.00876275518
"154" 4715.97507868042 31634.6089954287 503.819457527675 332.691464026197
"155" 2077.24317911299 35429.41741885 762.551335187143 426.625016866993
"156" 7381.68453195598 75700.5726131649 1113.2875268531 405.397200587562
"157" 4183.26069299704 82132.7440839363 817.837547369179 187.1604835871
"158" 1805.67287028663 63735.8435628497 661.56302397819 281.259878614581
"159" 881.148441932162 57175.450655261 593.067939517995 605.994129305571
"160" 6090.44703935379 46971.4983716912 590.233874681209 623.482922509575
"161" 4867.76791921203 54444.5600919595 841.362438258405 1084.11516049033
"162" 2803.52471645554 44123.5527984921 1342.68429533372 1341.60882299187
"163" 461.231775503594 42136.0034066809 339.38391505715 230.289436260476
"164" 173.614821162795 25421.7024731293 258.579309614435 547.963141852536
"165" 174.626013338706 23110.9288666703 829.411300239225 1713.2022463287
"166" 683.808064571079 23772.0857349617 321.878436853584 508.970267142841
"167" 6261.39245289439 28058.278383324 118.55203353584 713.699738184496
"168" 7806.2956552144 9100.74586935716 1331.27527684367 1569.87301555305
"169" 5380.58831586501 10175.2019574868 2150.90083583883 2080.8717676226
"170" 3749.50573434549 11115.2954733376 1876.21518034259 1814.87671083466
"171" 2252.80140890324 12806.7977784324 1076.48273671909 987.728547738391
"172" 804.864553891312 20489.5978098067 1143.69075829586 1539.76985936836
"173" 6481.89326423968 21765.6809225584 914.72034064161 1205.10166819905
"174" 10057.5742772519 19638.2253831306 1180.10086450945 1456.40272111725
"175" 6991.24759342351 20119.0125830322 340.378768731369 531.012901754649
"176" 3615.37625314062 20445.4549447596 405.528203854337 295.121775116767
"177" 1660.09740333401 21343.8327139279 1577.6185300683 1749.57809148865
"178" 1207.72112707099 27797.8033198548 764.222443032936 839.783620328665
"179" 787.772377420297 9471.66482086323 433.514548454857 500.907183511406
"180" 6374.00098896565 9789.63381439962 190.273514053248 347.937979852516
"181" 8996.46746362941 8945.89993472124 328.968512048998 307.986775904145
"182" 11270.1677964849 9107.14656953177 2173.96999813587 2576.65094065152
"183" 9894.12316348834 9592.08670033567 3847.95745099623 3455.27554157431
"184" 6007.72006870901 13327.8243421624 2955.39525216002 3262.46320776062
"185" 3898.09765999588 15398.0666260473 2643.82364658886 2338.60824945233
"186" 455.327569110946 8879.05830624656 337.135191925612 256.984364325427
"187" 6435.34605751864 7678.82765318961 308.073309035066 463.292004563146
"188" 7554.95600121853 8438.64204937323 249.501858961335 207.129656887979
"189" 5336.66514705711 8199.62953332469 468.61899473833 990.150387868155
"190" 3468.87356065665 8451.78036394971 794.289553277483 710.04067526773
"191" 1208.84401198567 11573.8717918015 1012.14732026835 1012.18889809194
"192" 2264.77063280035 6933.20533031885 1511.78521368363 1464.29394924105
"193" 1592.87818364496 11128.3054337011 1379.03757903068 1735.10184585443
"194" 8499.1639018216 8580.231470561 1069.23367716399 1147.64942899979
"195" 12628.5291428429 9323.8870404625 1378.93445101798 1533.70242144874
"196" 10119.002080029 8610.61369397367 1508.12234680771 1567.87967695132
"197" 3550.78489826489 9234.02731138977 563.40512748333 571.159882402599
"198" 2101.51274437669 13398.5299088851 1033.7556553926 1240.13430523698
"199" 1343.16943012705 11554.1104744824 581.328474371262 606.202939498289
"200" 979.089474098557 8046.48035880382 843.058410033175 403.790824071678
"201" 6442.22729501103 7166.6182294816 1171.57688113741 527.569866087302
"202" 10692.3708756461 7949.762978142 663.319904723008 345.079337643855
"203" 6592.25288371841 11302.5218287566 597.845756019517 355.572202286495
"204" 4048.71094723701 9844.00493832095 511.831387671852 454.748365184488
"205" 302.305236410674 7960.18577959179 176.438850584783 188.748712279919
"206" 340.343520532003 6637.60951010249 352.877502736161 436.724569952161
"207" 845.192750302755 6343.65641317038 768.70686879843 1098.2776762382
"208" 7145.81488643493 10677.8093813253 339.115453668888 212.369482844021
"209" 9917.64673118331 9335.01183274932 162.980159298232 25.951398014495
"210" 4787.1620204407 12100.0350143179 381.124510220967 330.61078354681
"211" 1749.80574327008 13519.3925597018 655.445179798186 558.091159605179
